"hdi","wdi"
"Arab States","Arab World"
"Bahamas","Bahamas, The"
"Bolivia (Plurinational State of)","Bolivia"
"Congo","Congo, Rep."
"Congo (Democratic Republic of the)","Congo, Dem. Rep."
"Czechia","Czech Republic"
"Côte d'Ivoire","Cote d'Ivoire"
"Egypt","Egypt, Arab Rep."
"Eswatini (Kingdom of)","Eswatini"
"Gambia","Gambia, The"
"Hong Kong, China (SAR)","Hong Kong SAR, China"
"Iran (Islamic Republic of)","Iran, Islamic Rep."
"Korea (Democratic People's Rep. of)","Korea, Dem. People’s Rep."
"Korea (Republic of)","Korea, Rep."
"Kyrgyzstan","Kyrgyz Republic"
"Lao People's Democratic Republic","Lao PDR"
"Micronesia (Federated States of)","Micronesia, Fed. Sts."
"Moldova (Republic of)","Moldova"
"Palestine, State of","West Bank and Gaza"
"Saint Kitts and Nevis","St. Kitts and Nevis"
"Saint Lucia","St. Lucia"
"Saint Vincent and the Grenadines","St. Vincent and the Grenadines"
"Slovakia","Slovak Republic"
"Tanzania (United Republic of)","Tanzania"
"Venezuela (Bolivarian Republic of)","Venezuela, RB"
"Viet Nam","Vietnam"
"Yemen","Yemen, Rep."